Feature,Coefficient,P>|t|,Culture,Character_Pair
anger,0.006622878754557706,0.034443178664775045,Iran,Mother and Son
money,0.0052971913004903545,0.026673486702920315,Iran,Mother and Son
ingest,-0.0076181789959015676,0.007598619723485828,Iran,Mother and Son
interrog,-0.008473389191413631,0.004570422995946397,Iran,Mother and Son
focuspast,-0.00965671555479326,0.0013846799963697551,Iran,Mother and Son
sexual,-0.011078467725837822,0.00013350925089238366,Iran,Mother and Son
health,-0.012279421981817897,0.012199154586179702,Iran,Mother and Son
body,-0.015171753995635449,0.0015331168470755403,Iran,Mother and Son
netspeak,-0.017321625493420867,6.392943000730212e-11,Iran,Mother and Son
social,-0.022832313280509886,0.014584716991633825,Iran,Mother and Son
function,-0.054083593585776905,2.27741558353854e-07,Iran,Mother and Son
assent,-0.05505646968791415,3.288039269492752e-07,Iran,Mother and Son
negemo,-0.06863921549714794,4.5668780005077256e-11,Iran,Mother and Son
posemo,-0.172140604421234,1.4943573378788782e-12,Iran,Mother and Son
const,0.12499999999999971,0.0,Iran,Son and Father
function,0.10662542183995659,1.6218811555402463e-26,Iran,Son and Father
male,0.06934376593659793,1.743078136751911e-20,Iran,Son and Father
assent,0.06898997950481633,2.2401275020751497e-11,Iran,Son and Father
posemo,0.04664740069740999,0.04483049548476221,Iran,Son and Father
affiliation,0.03609122485067805,0.02303260547141925,Iran,Son and Father
negemo,0.033441276210186,0.0007900561482099861,Iran,Son and Father
differ,0.025277183993271488,0.00030253100390927853,Iran,Son and Father
family,0.025249494898764206,0.006555862893661356,Iran,Son and Father
verb,0.02506310398780207,0.007213393850221171,Iran,Son and Father
netspeak,0.019691029985298317,8.095376496171009e-15,Iran,Son and Father
nonflu,0.017846165329979184,0.0003713071044739527,Iran,Son and Father
adj,0.01501367111099099,4.6340994807062033e-07,Iran,Son and Father
work,0.011873671662215837,2.1182652947139656e-05,Iran,Son and Father
ingest,0.0068588599620884,0.011959089908405485,Iran,Son and Father
risk,0.006681877111675019,0.041545517209038055,Iran,Son and Father
sad,-0.00901720658229655,0.0302623980758488,Iran,Son and Father
compare,-0.010916301172826815,0.00010411701017935582,Iran,Son and Father
anger,-0.01179398784232975,8.221691460710407e-05,Iran,Son and Father
article,-0.013594906468700927,0.0022465205988438735,Iran,Son and Father
insight,-0.01740841119608307,0.0069482568733449535,Iran,Son and Father
discrep,-0.01782649536651397,3.941514561185596e-06,Iran,Son and Father
focuspresent,-0.018064257510221508,0.009740613611135691,Iran,Son and Father
anx,-0.02092637773053979,8.160396174230428e-10,Iran,Son and Father
prep,-0.021306415788945477,1.9514299799041315e-06,Iran,Son and Father
adverb,-0.025002274701480306,3.353985163756211e-19,Iran,Son and Father
conj,-0.025572412608261264,2.3378191326876656e-14,Iran,Son and Father
drives,-0.035525208587729985,0.00918948104431379,Iran,Son and Father
negate,-0.041311968760774406,1.4640266768815635e-22,Iran,Son and Father
auxverb,-0.041991754433565384,2.253291637189283e-14,Iran,Son and Father
friend,-0.04441525319969783,9.453497916571948e-14,Iran,Son and Father
affect,-0.057328650323089196,0.012579866623919442,Iran,Son and Father
informal,-0.07627447432419296,9.136589019035574e-11,Iran,Son and Father
female,-0.09468871632328835,5.6600496005668646e-24,Iran,Son and Father
const,0.12500000000000006,0.0,Iran,Son and Mother
family,0.09938858408788635,1.6743564047980376e-23,Iran,Son and Mother
social,0.05993114204804609,3.735670333586041e-10,Iran,Son and Mother
function,0.03217820382340523,0.0026054634963861957,Iran,Son and Mother
verb,0.026711048596241127,0.007432060893026669,Iran,Son and Mother
nonflu,0.021824913001917464,4.7152767313055466e-05,Iran,Son and Mother
friend,0.014313610382051482,0.024738153328586313,Iran,Son and Mother
interrog,0.010188230464987447,0.0008584554199167002,Iran,Son and Mother
home,0.007315036213016803,0.01614327309379238,Iran,Son and Mother
number,0.005361297681228016,0.026977996602371445,Iran,Son and Mother
netspeak,0.005343447580280221,0.0486534275536475,Iran,Son and Mother
leisure,-0.007923230045659866,0.022917441765608247,Iran,Son and Mother
tentat,-0.012276044782548148,9.039076282435938e-05,Iran,Son and Mother
insight,-0.017040134403853272,0.013510618806588385,Iran,Son and Mother
sad,-0.017520789411688525,8.324765041732225e-05,Iran,Son and Mother
negate,-0.019820259245355083,1.1438774043392126e-05,Iran,Son and Mother
focuspresent,-0.021378804103380354,0.0042400822627528915,Iran,Son and Mother
auxverb,-0.025111351141171818,1.948570748618536e-05,Iran,Son and Mother
male,-0.037477434376086166,2.716050568865858e-06,Iran,Son and Mother
affiliation,-0.07428111319160145,1.2301781429264567e-05,Iran,Son and Mother
